!MOLECULE
CH spin-rotation spectrum up to 1000 cm^-1 above ground without hyperfine structure; based on CDMS v3 (June 2015)                                                                     
!MOLECULAR WEIGHT
   13.0     
! NUMBER OF ENERGY LEVELS
   31
!Level	E(cm-1)	   weight	J e/f +/- Omega
108  28   7  2.11e-15 3.04e-15 4.55e-15 6.75e-15 9.78e-15 1.38e-14 1.88e-14 2.51e-14 3.27e-14 4.18e-14 5.23e-14 6.44e-14 7.81e-14 9.35e-14 1.10e-13 1.29e-13 1.49e-13 1.71e-13 1.94e-13 2.19e-13 2.45e-13 2.73e-13 3.01e-13 3.31e-13 3.62e-13 3.94e-13 4.27e-13 4.61e-13 4.96e-13 5.31e-13 
109  28   6  4.07e-16 5.87e-16 8.90e-16 1.34e-15 1.98e-15 2.83e-15 3.93e-15 5.29e-15 6.97e-15 8.97e-15 1.13e-14 1.40e-14 1.72e-14 2.07e-14 2.46e-14 2.89e-14 3.36e-14 3.87e-14 4.42e-14 5.01e-14 5.64e-14 6.31e-14 7.01e-14 7.74e-14 8.50e-14 9.30e-14 1.01e-13 1.10e-13 1.18e-13 1.27e-13 
110  28   5  5.33e-16 7.52e-16 1.11e-15 1.63e-15 2.34e-15 3.27e-15 4.45e-15 5.92e-15 7.71e-15 9.86e-15 1.24e-14 1.54e-14 1.88e-14 2.27e-14 2.71e-14 3.20e-14 3.75e-14 4.34e-14 4.99e-14 5.68e-14 6.43e-14 7.23e-14 8.07e-14 8.96e-14 9.89e-14 1.09e-13 1.19e-13 1.29e-13 1.40e-13 1.51e-13 
111  28   4  1.40e-15 1.95e-15 2.85e-15 4.12e-15 5.84e-15 8.05e-15 1.08e-14 1.41e-14 1.81e-14 2.27e-14 2.80e-14 3.41e-14 4.09e-14 4.84e-14 5.67e-14 6.57e-14 7.55e-14 8.60e-14 9.72e-14 1.09e-13 1.22e-13 1.35e-13 1.49e-13 1.63e-13 1.78e-13 1.94e-13 2.10e-13 2.26e-13 2.43e-13 2.60e-13 
112  28   3  6.52e-16 9.36e-16 1.39e-15 2.05e-15 2.94e-15 4.07e-15 5.47e-15 7.15e-15 9.14e-15 1.14e-14 1.41e-14 1.70e-14 2.03e-14 2.40e-14 2.80e-14 3.23e-14 3.70e-14 4.19e-14 4.73e-14 5.29e-14 5.88e-14 6.50e-14 7.14e-14 7.82e-14 8.51e-14 9.23e-14 9.97e-14 1.07e-13 1.15e-13 1.23e-13 
113  28   2  3.06e-16 4.37e-16 6.52e-16 9.71e-16 1.41e-15 1.99e-15 2.74e-15 3.66e-15 4.79e-15 6.13e-15 7.71e-15 9.54e-15 1.16e-14 1.40e-14 1.66e-14 1.95e-14 2.26e-14 2.60e-14 2.97e-14 3.36e-14 3.77e-14 4.21e-14 4.67e-14 5.15e-14 5.65e-14 6.17e-14 6.71e-14 7.26e-14 7.83e-14 8.41e-14 
114  28   1  4.82e-16 6.83e-16 1.01e-15 1.47e-15 2.09e-15 2.88e-15 3.86e-15 5.02e-15 6.38e-15 7.93e-15 9.68e-15 1.16e-14 1.38e-14 1.61e-14 1.86e-14 2.12e-14 2.41e-14 2.70e-14 3.02e-14 3.34e-14 3.68e-14 4.04e-14 4.40e-14 4.77e-14 5.15e-14 5.55e-14 5.94e-14 6.35e-14 6.76e-14 7.18e-14 
115  27  26  1.54e-13 1.77e-13 2.04e-13 2.36e-13 2.72e-13 3.12e-13 3.56e-13 4.03e-13 4.54e-13 5.09e-13 5.67e-13 6.29e-13 6.94e-13 7.62e-13 8.34e-13 9.08e-13 9.85e-13 1.06e-12 1.15e-12 1.23e-12 1.32e-12 1.41e-12 1.50e-12 1.59e-12 1.69e-12 1.78e-12 1.88e-12 1.98e-12 2.08e-12 2.18e-12 
116  27  25  2.65e-12 2.66e-12 2.81e-12 3.02e-12 3.25e-12 3.50e-12 3.76e-12 4.03e-12 4.30e-12 4.57e-12 4.85e-12 5.13e-12 5.41e-12 5.69e-12 5.98e-12 6.26e-12 6.54e-12 6.83e-12 7.11e-12 7.40e-12 7.68e-12 7.96e-12 8.24e-12 8.52e-12 8.80e-12 9.08e-12 9.35e-12 9.62e-12 9.89e-12 1.02e-11 
117  27  24  1.20e-13 1.34e-13 1.64e-13 2.03e-13 2.50e-13 3.03e-13 3.63e-13 4.28e-13 4.97e-13 5.72e-13 6.50e-13 7.32e-13 8.18e-13 9.06e-13 9.98e-13 1.09e-12 1.19e-12 1.29e-12 1.39e-12 1.49e-12 1.59e-12 1.70e-12 1.80e-12 1.91e-12 2.02e-12 2.13e-12 2.24e-12 2.35e-12 2.46e-12 2.57e-12 
118  27  23  3.64e-12 3.66e-12 3.84e-12 4.09e-12 4.39e-12 4.71e-12 5.05e-12 5.39e-12 5.73e-12 6.08e-12 6.42e-12 6.76e-12 7.10e-12 7.43e-12 7.75e-12 8.07e-12 8.38e-12 8.69e-12 8.98e-12 9.27e-12 9.55e-12 9.82e-12 1.01e-11 1.03e-11 1.06e-11 1.08e-11 1.11e-11 1.13e-11 1.15e-11 1.17e-11 
119  27  22  1.10e-12 1.28e-12 1.60e-12 2.00e-12 2.46e-12 2.96e-12 3.50e-12 4.07e-12 4.65e-12 5.26e-12 5.87e-12 6.50e-12 7.13e-12 7.76e-12 8.39e-12 9.02e-12 9.64e-12 1.03e-11 1.09e-11 1.15e-11 1.21e-11 1.27e-11 1.33e-11 1.39e-11 1.45e-11 1.50e-11 1.56e-11 1.62e-11 1.67e-11 1.72e-11 
120  27  21  9.15e-12 1.02e-11 1.17e-11 1.35e-11 1.54e-11 1.74e-11 1.95e-11 2.16e-11 2.38e-11 2.59e-11 2.80e-11 3.00e-11 3.21e-11 3.41e-11 3.60e-11 3.79e-11 3.98e-11 4.16e-11 4.33e-11 4.50e-11 4.67e-11 4.83e-11 4.98e-11 5.13e-11 5.28e-11 5.42e-11 5.56e-11 5.70e-11 5.83e-11 5.95e-11 
121  27  20  3.46e-14 4.24e-14 5.54e-14 7.31e-14 9.55e-14 1.23e-13 1.55e-13 1.92e-13 2.35e-13 2.81e-13 3.33e-13 3.89e-13 4.50e-13 5.14e-13 5.83e-13 6.55e-13 7.31e-13 8.11e-13 8.94e-13 9.79e-13 1.07e-12 1.16e-12 1.25e-12 1.35e-12 1.45e-12 1.55e-12 1.65e-12 1.75e-12 1.86e-12 1.96e-12 
122  27  19  6.79e-14 8.38e-14 1.06e-13 1.34e-13 1.67e-13 2.05e-13 2.47e-13 2.93e-13 3.43e-13 3.96e-13 4.52e-13 5.10e-13 5.71e-13 6.34e-13 6.99e-13 7.66e-13 8.34e-13 9.03e-13 9.74e-13 1.04e-12 1.12e-12 1.19e-12 1.26e-12 1.34e-12 1.41e-12 1.48e-12 1.56e-12 1.63e-12 1.71e-12 1.78e-12 
123  27  18  1.77e-13 2.15e-13 2.81e-13 3.68e-13 4.74e-13 5.99e-13 7.41e-13 8.98e-13 1.07e-12 1.26e-12 1.45e-12 1.66e-12 1.88e-12 2.10e-12 2.34e-12 2.58e-12 2.83e-12 3.08e-12 3.34e-12 3.60e-12 3.87e-12 4.14e-12 4.41e-12 4.69e-12 4.97e-12 5.25e-12 5.54e-12 5.82e-12 6.11e-12 6.40e-12 
124  27  17  2.04e-13 2.55e-13 3.28e-13 4.21e-13 5.31e-13 6.57e-13 7.97e-13 9.50e-13 1.11e-12 1.28e-12 1.46e-12 1.65e-12 1.84e-12 2.03e-12 2.23e-12 2.42e-12 2.62e-12 2.83e-12 3.03e-12 3.23e-12 3.43e-12 3.63e-12 3.83e-12 4.03e-12 4.23e-12 4.42e-12 4.62e-12 4.81e-12 5.00e-12 5.19e-12 
125  27  16  5.05e-15 5.91e-15 7.83e-15 1.06e-14 1.43e-14 1.89e-14 2.46e-14 3.14e-14 3.94e-14 4.87e-14 5.93e-14 7.13e-14 8.47e-14 9.95e-14 1.16e-13 1.34e-13 1.53e-13 1.73e-13 1.95e-13 2.19e-13 2.43e-13 2.70e-13 2.97e-13 3.26e-13 3.55e-13 3.86e-13 4.18e-13 4.51e-13 4.85e-13 5.20e-13 
126  27  15  4.18e-15 5.42e-15 7.70e-15 1.10e-14 1.54e-14 2.11e-14 2.81e-14 3.65e-14 4.65e-14 5.81e-14 7.14e-14 8.65e-14 1.03e-13 1.22e-13 1.43e-13 1.66e-13 1.90e-13 2.16e-13 2.44e-13 2.74e-13 3.06e-13 3.40e-13 3.75e-13 4.11e-13 4.49e-13 4.88e-13 5.29e-13 5.71e-13 6.13e-13 6.57e-13 
127  27  14  2.47e-14 3.01e-14 4.11e-14 5.64e-14 7.59e-14 9.96e-14 1.27e-13 1.58e-13 1.93e-13 2.31e-13 2.72e-13 3.16e-13 3.63e-13 4.11e-13 4.62e-13 5.15e-13 5.69e-13 6.25e-13 6.83e-13 7.41e-13 8.01e-13 8.62e-13 9.23e-13 9.86e-13 1.05e-12 1.11e-12 1.18e-12 1.24e-12 1.30e-12 1.37e-12 
128  27  13  1.83e-14 2.48e-14 3.60e-14 5.20e-14 7.34e-14 1.01e-13 1.35e-13 1.76e-13 2.24e-13 2.80e-13 3.43e-13 4.13e-13 4.92e-13 5.77e-13 6.69e-13 7.69e-13 8.74e-13 9.86e-13 1.10e-12 1.23e-12 1.35e-12 1.49e-12 1.62e-12 1.76e-12 1.91e-12 2.05e-12 2.20e-12 2.36e-12 2.51e-12 2.67e-12 
129  27  12  1.99e-15 2.43e-15 3.37e-15 4.76e-15 6.68e-15 9.22e-15 1.25e-14 1.66e-14 2.16e-14 2.77e-14 3.49e-14 4.34e-14 5.31e-14 6.43e-14 7.68e-14 9.08e-14 1.06e-13 1.23e-13 1.41e-13 1.61e-13 1.82e-13 2.05e-13 2.29e-13 2.54e-13 2.81e-13 3.08e-13 3.37e-13 3.67e-13 3.98e-13 4.29e-13 
130  27  11  2.26e-15 2.88e-15 4.13e-15 5.98e-15 8.49e-15 1.17e-14 1.56e-14 2.04e-14 2.60e-14 3.24e-14 3.97e-14 4.80e-14 5.72e-14 6.73e-14 7.84e-14 9.04e-14 1.03e-13 1.17e-13 1.32e-13 1.48e-13 1.64e-13 1.82e-13 2.00e-13 2.19e-13 2.38e-13 2.58e-13 2.79e-13 3.01e-13 3.22e-13 3.45e-13 
131  27  10  8.06e-15 9.96e-15 1.38e-14 1.93e-14 2.65e-14 3.55e-14 4.65e-14 5.95e-14 7.45e-14 9.16e-14 1.11e-13 1.32e-13 1.56e-13 1.82e-13 2.10e-13 2.39e-13 2.71e-13 3.05e-13 3.41e-13 3.79e-13 4.18e-13 4.60e-13 5.03e-13 5.47e-13 5.93e-13 6.40e-13 6.89e-13 7.39e-13 7.90e-13 8.42e-13 
132  27   9  2.61e-15 3.43e-15 4.95e-15 7.14e-15 1.00e-14 1.37e-14 1.81e-14 2.33e-14 2.93e-14 3.61e-14 4.38e-14 5.23e-14 6.16e-14 7.19e-14 8.29e-14 9.48e-14 1.08e-13 1.21e-13 1.35e-13 1.50e-13 1.66e-13 1.83e-13 2.00e-13 2.18e-13 2.36e-13 2.56e-13 2.75e-13 2.95e-13 3.16e-13 3.37e-13 
133  27   8  8.36e-16 1.06e-15 1.54e-15 2.27e-15 3.30e-15 4.66e-15 6.40e-15 8.58e-15 1.12e-14 1.44e-14 1.81e-14 2.25e-14 2.74e-14 3.30e-14 3.92e-14 4.61e-14 5.36e-14 6.18e-14 7.06e-14 8.00e-14 9.01e-14 1.01e-13 1.12e-13 1.24e-13 1.36e-13 1.49e-13 1.62e-13 1.76e-13 1.90e-13 2.04e-13 
134  27   7  1.33e-15 1.68e-15 2.39e-15 3.44e-15 4.86e-15 6.70e-15 8.99e-15 1.18e-14 1.52e-14 1.92e-14 2.38e-14 2.92e-14 3.54e-14 4.23e-14 5.01e-14 5.88e-14 6.83e-14 7.86e-14 8.99e-14 1.02e-13 1.15e-13 1.29e-13 1.43e-13 1.58e-13 1.74e-13 1.91e-13 2.09e-13 2.26e-13 2.45e-13 2.64e-13 
135  27   6  1.78e-15 2.24e-15 3.14e-15 4.43e-15 6.12e-15 8.20e-15 1.07e-14 1.35e-14 1.67e-14 2.03e-14 2.42e-14 2.84e-14 3.29e-14 3.77e-14 4.28e-14 4.82e-14 5.38e-14 5.96e-14 6.57e-14 7.20e-14 7.86e-14 8.53e-14 9.22e-14 9.93e-14 1.07e-13 1.14e-13 1.21e-13 1.29e-13 1.37e-13 1.45e-13 
136  27   5  1.90e-15 2.46e-15 3.60e-15 5.30e-15 7.65e-15 1.07e-14 1.46e-14 1.95e-14 2.53e-14 3.21e-14 4.01e-14 4.93e-14 5.96e-14 7.11e-14 8.39e-14 9.78e-14 1.13e-13 1.29e-13 1.46e-13 1.65e-13 1.84e-13 2.05e-13 2.26e-13 2.48e-13 2.71e-13 2.95e-13 3.19e-13 3.44e-13 3.69e-13 3.95e-13 
137  27   4  6.28e-16 7.92e-16 1.15e-15 1.71e-15 2.49e-15 3.53e-15 4.87e-15 6.57e-15 8.66e-15 1.12e-14 1.42e-14 1.78e-14 2.19e-14 2.65e-14 3.18e-14 3.77e-14 4.41e-14 5.12e-14 5.89e-14 6.72e-14 7.61e-14 8.56e-14 9.56e-14 1.06e-13 1.17e-13 1.29e-13 1.40e-13 1.53e-13 1.65e-13 1.79e-13 
138  27   3  8.87e-16 1.15e-15 1.67e-15 2.43e-15 3.46e-15 4.78e-15 6.39e-15 8.32e-15 1.06e-14 1.31e-14 1.60e-14 1.92e-14 2.28e-14 2.66e-14 3.08e-14 3.53e-14 4.01e-14 4.51e-14 5.05e-14 5.61e-14 6.19e-14 6.80e-14 7.43e-14 8.09e-14 8.76e-14 9.45e-14 1.02e-13 1.09e-13 1.16e-13 1.24e-13 
139  27   2  7.62e-16 9.62e-16 1.36e-15 1.95e-15 2.74e-15 3.75e-15 4.99e-15 6.49e-15 8.26e-15 1.03e-14 1.27e-14 1.54e-14 1.83e-14 2.17e-14 2.53e-14 2.93e-14 3.37e-14 3.83e-14 4.33e-14 4.87e-14 5.43e-14 6.03e-14 6.65e-14 7.30e-14 7.98e-14 8.69e-14 9.42e-14 1.02e-13 1.09e-13 1.17e-13 
140  27   1  4.99e-16 6.54e-16 9.47e-16 1.37e-15 1.94e-15 2.67e-15 3.56e-15 4.62e-15 5.86e-15 7.28e-15 8.90e-15 1.07e-14 1.27e-14 1.49e-14 1.73e-14 1.98e-14 2.25e-14 2.55e-14 2.85e-14 3.18e-14 3.52e-14 3.87e-14 4.24e-14 4.62e-14 5.01e-14 5.41e-14 5.82e-14 6.25e-14 6.68e-14 7.12e-14 
141  26  25  1.27e-13 1.86e-13 2.61e-13 3.49e-13 4.51e-13 5.68e-13 6.99e-13 8.46e-13 1.01e-12 1.18e-12 1.37e-12 1.57e-12 1.79e-12 2.01e-12 2.25e-12 2.50e-12 2.75e-12 3.02e-12 3.29e-12 3.56e-12 3.85e-12 4.13e-12 4.42e-12 4.71e-12 5.00e-12 5.30e-12 5.59e-12 5.88e-12 6.18e-12 6.47e-12 
142  26  24  4.33e-12 5.14e-12 6.18e-12 7.34e-12 8.58e-12 9.88e-12 1.12e-11 1.25e-11 1.39e-11 1.52e-11 1.65e-11 1.78e-11 1.91e-11 2.03e-11 2.16e-11 2.28e-11 2.40e-11 2.51e-11 2.62e-11 2.73e-11 2.84e-11 2.95e-11 3.05e-11 3.15e-11 3.25e-11 3.34e-11 3.44e-11 3.53e-11 3.62e-11 3.70e-11 
143  26  23  2.93e-12 3.37e-12 4.01e-12 4.75e-12 5.55e-12 6.38e-12 7.22e-12 8.06e-12 8.90e-12 9.72e-12 1.05e-11 1.13e-11 1.21e-11 1.28e-11 1.35e-11 1.42e-11 1.48e-11 1.55e-11 1.61e-11 1.66e-11 1.72e-11 1.78e-11 1.83e-11 1.88e-11 1.93e-11 1.98e-11 2.02e-11 2.07e-11 2.11e-11 2.15e-11 
144  26  22  2.96e-13 3.66e-13 4.60e-13 5.73e-13 7.02e-13 8.43e-13 9.95e-13 1.15e-12 1.32e-12 1.49e-12 1.66e-12 1.84e-12 2.01e-12 2.19e-12 2.37e-12 2.55e-12 2.72e-12 2.90e-12 3.07e-12 3.24e-12 3.41e-12 3.58e-12 3.74e-12 3.90e-12 4.06e-12 4.22e-12 4.38e-12 4.53e-12 4.68e-12 4.83e-12 
145  26  21  1.49e-13 1.83e-13 2.32e-13 2.93e-13 3.68e-13 4.54e-13 5.53e-13 6.63e-13 7.84e-13 9.15e-13 1.06e-12 1.20e-12 1.36e-12 1.52e-12 1.69e-12 1.86e-12 2.04e-12 2.21e-12 2.39e-12 2.57e-12 2.76e-12 2.94e-12 3.12e-12 3.30e-12 3.48e-12 3.66e-12 3.84e-12 4.01e-12 4.19e-12 4.36e-12 
146  26  20  3.69e-13 4.42e-13 5.49e-13 6.79e-13 8.27e-13 9.90e-13 1.16e-12 1.34e-12 1.53e-12 1.72e-12 1.92e-12 2.12e-12 2.31e-12 2.51e-12 2.71e-12 2.90e-12 3.10e-12 3.29e-12 3.48e-12 3.67e-12 3.86e-12 4.05e-12 4.23e-12 4.41e-12 4.59e-12 4.77e-12 4.95e-12 5.12e-12 5.29e-12 5.46e-12 
147  26  19  8.70e-13 1.07e-12 1.34e-12 1.65e-12 2.00e-12 2.38e-12 2.79e-12 3.21e-12 3.65e-12 4.10e-12 4.56e-12 5.03e-12 5.51e-12 5.98e-12 6.46e-12 6.95e-12 7.43e-12 7.91e-12 8.39e-12 8.88e-12 9.36e-12 9.84e-12 1.03e-11 1.08e-11 1.13e-11 1.17e-11 1.22e-11 1.27e-11 1.31e-11 1.36e-11 
148  26  18  8.87e-14 1.10e-13 1.40e-13 1.77e-13 2.21e-13 2.69e-13 3.22e-13 3.79e-13 4.38e-13 5.01e-13 5.65e-13 6.31e-13 6.99e-13 7.68e-13 8.39e-13 9.10e-13 9.82e-13 1.06e-12 1.13e-12 1.20e-12 1.28e-12 1.35e-12 1.43e-12 1.51e-12 1.58e-12 1.66e-12 1.74e-12 1.82e-12 1.90e-12 1.97e-12 
149  26  17  1.48e-13 1.90e-13 2.51e-13 3.31e-13 4.29e-13 5.45e-13 6.77e-13 8.25e-13 9.86e-13 1.16e-12 1.34e-12 1.54e-12 1.74e-12 1.95e-12 2.16e-12 2.38e-12 2.60e-12 2.82e-12 3.05e-12 3.27e-12 3.50e-12 3.72e-12 3.94e-12 4.16e-12 4.38e-12 4.59e-12 4.80e-12 5.01e-12 5.22e-12 5.42e-12 
150  26  16  2.46e-13 3.09e-13 3.93e-13 4.96e-13 6.15e-13 7.49e-13 8.95e-13 1.05e-12 1.22e-12 1.39e-12 1.57e-12 1.75e-12 1.94e-12 2.13e-12 2.33e-12 2.52e-12 2.72e-12 2.92e-12 3.12e-12 3.32e-12 3.52e-12 3.73e-12 3.93e-12 4.13e-12 4.33e-12 4.53e-12 4.73e-12 4.93e-12 5.13e-12 5.33e-12 
151  26  15  3.41e-13 4.14e-13 5.20e-13 6.51e-13 8.02e-13 9.70e-13 1.15e-12 1.34e-12 1.54e-12 1.75e-12 1.96e-12 2.17e-12 2.39e-12 2.60e-12 2.81e-12 3.03e-12 3.24e-12 3.45e-12 3.66e-12 3.86e-12 4.06e-12 4.26e-12 4.45e-12 4.64e-12 4.83e-12 5.01e-12 5.19e-12 5.36e-12 5.54e-12 5.70e-12 
152  26  14  8.03e-14 1.03e-13 1.34e-13 1.73e-13 2.19e-13 2.72e-13 3.31e-13 3.95e-13 4.64e-13 5.36e-13 6.11e-13 6.88e-13 7.68e-13 8.49e-13 9.31e-13 1.01e-12 1.10e-12 1.18e-12 1.26e-12 1.35e-12 1.43e-12 1.51e-12 1.60e-12 1.68e-12 1.76e-12 1.84e-12 1.92e-12 2.00e-12 2.08e-12 2.16e-12 
153  26  13  7.12e-14 9.14e-14 1.19e-13 1.53e-13 1.93e-13 2.40e-13 2.92e-13 3.48e-13 4.09e-13 4.73e-13 5.41e-13 6.12e-13 6.85e-13 7.61e-13 8.39e-13 9.18e-13 1.00e-12 1.08e-12 1.17e-12 1.25e-12 1.34e-12 1.43e-12 1.52e-12 1.61e-12 1.70e-12 1.80e-12 1.89e-12 1.99e-12 2.08e-12 2.18e-12 
154  26  12  1.05e-13 1.30e-13 1.65e-13 2.10e-13 2.62e-13 3.22e-13 3.87e-13 4.58e-13 5.32e-13 6.10e-13 6.90e-13 7.73e-13 8.57e-13 9.43e-13 1.03e-12 1.12e-12 1.20e-12 1.29e-12 1.38e-12 1.46e-12 1.55e-12 1.63e-12 1.72e-12 1.80e-12 1.88e-12 1.97e-12 2.05e-12 2.13e-12 2.21e-12 2.29e-12 
155  26  11  7.12e-14 9.13e-14 1.17e-13 1.48e-13 1.85e-13 2.26e-13 2.71e-13 3.21e-13 3.74e-13 4.30e-13 4.90e-13 5.53e-13 6.19e-13 6.87e-13 7.59e-13 8.33e-13 9.09e-13 9.89e-13 1.07e-12 1.15e-12 1.24e-12 1.33e-12 1.42e-12 1.51e-12 1.61e-12 1.71e-12 1.80e-12 1.90e-12 2.00e-12 2.11e-12 
156  26  10  3.39e-14 4.28e-14 5.56e-14 7.20e-14 9.15e-14 1.14e-13 1.39e-13 1.66e-13 1.96e-13 2.26e-13 2.58e-13 2.91e-13 3.25e-13 3.59e-13 3.94e-13 4.30e-13 4.66e-13 5.02e-13 5.38e-13 5.74e-13 6.11e-13 6.48e-13 6.85e-13 7.22e-13 7.60e-13 7.97e-13 8.34e-13 8.72e-13 9.10e-13 9.48e-13 
157  26   9  5.33e-14 6.96e-14 9.15e-14 1.19e-13 1.53e-13 1.92e-13 2.36e-13 2.85e-13 3.38e-13 3.94e-13 4.54e-13 5.16e-13 5.81e-13 6.48e-13 7.17e-13 7.87e-13 8.58e-13 9.31e-13 1.00e-12 1.08e-12 1.15e-12 1.23e-12 1.30e-12 1.38e-12 1.45e-12 1.52e-12 1.60e-12 1.67e-12 1.75e-12 1.82e-12 
158  26   8  4.02e-14 5.23e-14 6.82e-14 8.81e-14 1.12e-13 1.39e-13 1.69e-13 2.03e-13 2.39e-13 2.77e-13 3.17e-13 3.59e-13 4.03e-13 4.48e-13 4.95e-13 5.44e-13 5.94e-13 6.45e-13 6.97e-13 7.51e-13 8.05e-13 8.61e-13 9.18e-13 9.76e-13 1.03e-12 1.09e-12 1.15e-12 1.22e-12 1.28e-12 1.34e-12 
159  26   7  7.70e-14 9.55e-14 1.22e-13 1.55e-13 1.95e-13 2.39e-13 2.89e-13 3.42e-13 3.98e-13 4.57e-13 5.18e-13 5.81e-13 6.45e-13 7.11e-13 7.77e-13 8.43e-13 9.10e-13 9.77e-13 1.04e-12 1.11e-12 1.18e-12 1.24e-12 1.31e-12 1.37e-12 1.43e-12 1.50e-12 1.56e-12 1.62e-12 1.68e-12 1.74e-12 
160  26   6  2.61e-14 3.35e-14 4.36e-14 5.63e-14 7.15e-14 8.90e-14 1.09e-13 1.30e-13 1.53e-13 1.77e-13 2.02e-13 2.28e-13 2.55e-13 2.82e-13 3.10e-13 3.39e-13 3.68e-13 3.97e-13 4.27e-13 4.57e-13 4.87e-13 5.17e-13 5.48e-13 5.79e-13 6.10e-13 6.41e-13 6.72e-13 7.03e-13 7.34e-13 7.66e-13 
161  26   5  1.52e-14 1.94e-14 2.55e-14 3.36e-14 4.34e-14 5.50e-14 6.82e-14 8.27e-14 9.85e-14 1.15e-13 1.33e-13 1.52e-13 1.71e-13 1.91e-13 2.12e-13 2.33e-13 2.55e-13 2.77e-13 2.99e-13 3.22e-13 3.46e-13 3.70e-13 3.94e-13 4.19e-13 4.45e-13 4.70e-13 4.96e-13 5.23e-13 5.50e-13 5.77e-13 
162  26   4  2.69e-14 3.39e-14 4.40e-14 5.68e-14 7.23e-14 9.02e-14 1.10e-13 1.32e-13 1.56e-13 1.80e-13 2.06e-13 2.33e-13 2.61e-13 2.90e-13 3.18e-13 3.48e-13 3.77e-13 4.07e-13 4.37e-13 4.66e-13 4.96e-13 5.26e-13 5.55e-13 5.85e-13 6.14e-13 6.43e-13 6.72e-13 7.00e-13 7.29e-13 7.57e-13 
163  26   3  1.40e-14 1.86e-14 2.46e-14 3.20e-14 4.09e-14 5.12e-14 6.26e-14 7.52e-14 8.88e-14 1.03e-13 1.19e-13 1.35e-13 1.52e-13 1.70e-13 1.89e-13 2.09e-13 2.29e-13 2.51e-13 2.73e-13 2.96e-13 3.20e-13 3.45e-13 3.71e-13 3.98e-13 4.25e-13 4.53e-13 4.82e-13 5.12e-13 5.42e-13 5.73e-13 
164  26   2  1.19e-14 1.51e-14 1.96e-14 2.54e-14 3.23e-14 4.03e-14 4.93e-14 5.91e-14 6.97e-14 8.08e-14 9.25e-14 1.05e-13 1.17e-13 1.30e-13 1.43e-13 1.56e-13 1.69e-13 1.82e-13 1.96e-13 2.09e-13 2.22e-13 2.35e-13 2.49e-13 2.62e-13 2.75e-13 2.87e-13 3.00e-13 3.13e-13 3.25e-13 3.38e-13 
165  26   1  1.01e-14 1.31e-14 1.72e-14 2.22e-14 2.84e-14 3.55e-14 4.35e-14 5.23e-14 6.19e-14 7.22e-14 8.30e-14 9.44e-14 1.06e-13 1.19e-13 1.32e-13 1.45e-13 1.58e-13 1.72e-13 1.87e-13 2.02e-13 2.17e-13 2.32e-13 2.48e-13 2.63e-13 2.80e-13 2.96e-13 3.12e-13 3.29e-13 3.46e-13 3.63e-13 
166  25  24  2.68e-13 3.13e-13 3.89e-13 4.84e-13 5.92e-13 7.11e-13 8.39e-13 9.72e-13 1.11e-12 1.25e-12 1.40e-12 1.54e-12 1.68e-12 1.83e-12 1.97e-12 2.12e-12 2.26e-12 2.40e-12 2.54e-12 2.68e-12 2.82e-12 2.95e-12 3.09e-12 3.22e-12 3.35e-12 3.48e-12 3.60e-12 3.73e-12 3.85e-12 3.98e-12 
167  25  23  1.98e-13 2.36e-13 2.98e-13 3.76e-13 4.72e-13 5.82e-13 7.08e-13 8.49e-13 1.00e-12 1.17e-12 1.35e-12 1.54e-12 1.73e-12 1.94e-12 2.15e-12 2.36e-12 2.58e-12 2.81e-12 3.03e-12 3.26e-12 3.48e-12 3.71e-12 3.94e-12 4.17e-12 4.39e-12 4.61e-12 4.84e-12 5.06e-12 5.28e-12 5.49e-12 
168  25  22  4.91e-12 5.79e-12 6.93e-12 8.21e-12 9.58e-12 1.10e-11 1.24e-11 1.39e-11 1.53e-11 1.68e-11 1.82e-11 1.96e-11 2.09e-11 2.23e-11 2.36e-11 2.49e-11 2.61e-11 2.73e-11 2.85e-11 2.97e-11 3.08e-11 3.19e-11 3.30e-11 3.41e-11 3.51e-11 3.61e-11 3.71e-11 3.80e-11 3.90e-11 3.99e-11 
169  25  21  2.94e-12 3.31e-12 3.91e-12 4.62e-12 5.39e-12 6.19e-12 7.00e-12 7.81e-12 8.62e-12 9.40e-12 1.02e-11 1.09e-11 1.16e-11 1.23e-11 1.30e-11 1.37e-11 1.43e-11 1.49e-11 1.55e-11 1.60e-11 1.65e-11 1.71e-11 1.76e-11 1.80e-11 1.85e-11 1.89e-11 1.94e-11 1.98e-11 2.02e-11 2.06e-11 
170  25  20  1.08e-13 1.30e-13 1.64e-13 2.07e-13 2.57e-13 3.13e-13 3.73e-13 4.39e-13 5.07e-13 5.79e-13 6.53e-13 7.29e-13 8.06e-13 8.85e-13 9.65e-13 1.05e-12 1.13e-12 1.21e-12 1.29e-12 1.38e-12 1.46e-12 1.55e-12 1.63e-12 1.72e-12 1.80e-12 1.89e-12 1.98e-12 2.06e-12 2.15e-12 2.24e-12 
