!MOLECULE
CH spin-rotation spectrum up to 1000 cm^-1 above ground without hyperfine structure; based on CDMS v3 (June 2015)                                                                     
!MOLECULAR WEIGHT
   13.0     
! NUMBER OF ENERGY LEVELS
   31
!Level	E(cm-1)	   weight	J e/f +/- Omega
20  31  11  3.81e-16 6.32e-16 9.91e-16 1.50e-15 2.21e-15 3.14e-15 4.34e-15 5.83e-15 7.67e-15 9.88e-15 1.25e-14 1.56e-14 1.92e-14 2.33e-14 2.80e-14 3.33e-14 3.92e-14 4.57e-14 5.29e-14 6.07e-14 6.93e-14 7.84e-14 8.83e-14 9.87e-14 1.10e-13 1.22e-13 1.34e-13 1.47e-13 1.60e-13 1.74e-13 
21  31  10  9.44e-16 1.60e-15 2.48e-15 3.68e-15 5.25e-15 7.22e-15 9.64e-15 1.25e-14 1.58e-14 1.97e-14 2.39e-14 2.87e-14 3.40e-14 3.97e-14 4.58e-14 5.25e-14 5.95e-14 6.70e-14 7.49e-14 8.32e-14 9.19e-14 1.01e-13 1.10e-13 1.20e-13 1.30e-13 1.41e-13 1.51e-13 1.62e-13 1.73e-13 1.85e-13 
22  31   9  8.65e-16 1.43e-15 2.25e-15 3.44e-15 5.10e-15 7.31e-15 1.02e-14 1.37e-14 1.81e-14 2.34e-14 2.96e-14 3.69e-14 4.52e-14 5.45e-14 6.50e-14 7.66e-14 8.94e-14 1.03e-13 1.18e-13 1.34e-13 1.52e-13 1.70e-13 1.89e-13 2.09e-13 2.30e-13 2.52e-13 2.75e-13 2.99e-13 3.23e-13 3.48e-13 
23  31   8  1.88e-16 3.04e-16 4.75e-16 7.30e-16 1.09e-15 1.58e-15 2.24e-15 3.08e-15 4.15e-15 5.49e-15 7.12e-15 9.08e-15 1.14e-14 1.41e-14 1.73e-14 2.08e-14 2.49e-14 2.94e-14 3.44e-14 3.99e-14 4.60e-14 5.25e-14 5.94e-14 6.69e-14 7.49e-14 8.33e-14 9.21e-14 1.01e-13 1.11e-13 1.21e-13 
24  31   7  2.64e-16 4.37e-16 6.87e-16 1.05e-15 1.54e-15 2.20e-15 3.03e-15 4.06e-15 5.31e-15 6.80e-15 8.53e-15 1.05e-14 1.28e-14 1.54e-14 1.82e-14 2.14e-14 2.49e-14 2.86e-14 3.27e-14 3.71e-14 4.18e-14 4.68e-14 5.21e-14 5.76e-14 6.35e-14 6.95e-14 7.59e-14 8.24e-14 8.92e-14 9.61e-14 
25  31   6  4.72e-16 7.84e-16 1.23e-15 1.85e-15 2.71e-15 3.83e-15 5.26e-15 7.02e-15 9.16e-15 1.17e-14 1.46e-14 1.80e-14 2.19e-14 2.62e-14 3.10e-14 3.63e-14 4.21e-14 4.84e-14 5.51e-14 6.24e-14 7.01e-14 7.83e-14 8.69e-14 9.60e-14 1.05e-13 1.15e-13 1.26e-13 1.36e-13 1.47e-13 1.58e-13 
26  31   5  2.06e-16 3.45e-16 5.42e-16 8.21e-16 1.20e-15 1.69e-15 2.32e-15 3.08e-15 4.00e-15 5.09e-15 6.35e-15 7.81e-15 9.46e-15 1.13e-14 1.34e-14 1.57e-14 1.82e-14 2.10e-14 2.39e-14 2.71e-14 3.06e-14 3.42e-14 3.81e-14 4.21e-14 4.64e-14 5.09e-14 5.55e-14 6.03e-14 6.53e-14 7.04e-14 
27  31   4  1.36e-16 2.24e-16 3.52e-16 5.39e-16 7.98e-16 1.14e-15 1.59e-15 2.15e-15 2.85e-15 3.69e-15 4.69e-15 5.86e-15 7.22e-15 8.78e-15 1.06e-14 1.25e-14 1.48e-14 1.72e-14 1.99e-14 2.28e-14 2.59e-14 2.93e-14 3.29e-14 3.67e-14 4.07e-14 4.50e-14 4.94e-14 5.40e-14 5.88e-14 6.38e-14 
28  31   3  1.79e-16 2.93e-16 4.59e-16 7.04e-16 1.05e-15 1.51e-15 2.11e-15 2.87e-15 3.81e-15 4.95e-15 6.31e-15 7.92e-15 9.79e-15 1.19e-14 1.44e-14 1.71e-14 2.02e-14 2.35e-14 2.72e-14 3.12e-14 3.55e-14 4.02e-14 4.51e-14 5.04e-14 5.59e-14 6.17e-14 6.78e-14 7.41e-14 8.07e-14 8.75e-14 
29  31   2  1.29e-16 2.15e-16 3.37e-16 5.09e-16 7.41e-16 1.04e-15 1.42e-15 1.88e-15 2.43e-15 3.07e-15 3.80e-15 4.63e-15 5.56e-15 6.59e-15 7.71e-15 8.93e-15 1.03e-14 1.17e-14 1.32e-14 1.48e-14 1.65e-14 1.82e-14 2.01e-14 2.20e-14 2.40e-14 2.61e-14 2.82e-14 3.04e-14 3.27e-14 3.50e-14 
