!MOLECULE
CF+ spectroscopy from CDMS version 2 of Feb 2010                                                                 
!MOLECULAR WEIGHT
   31.0 
! NUMBER OF ENERGY LEVELS
          11
!LEVEL + ENERGIES(cm^-1) + WEIGHT + J (or other quantum numbers)
    1     0.000000000   1.0   0
    2     3.421951752   3.0   1  
    3    10.265751887   5.0   2 
    4    20.530946599   7.0   3 
    5    34.217287098   9.0   4 
    6    51.323917641  11.0   5 
    7    71.850389160  13.0   6 
    8    95.795448247  15.0   7 
    9   123.158343251  17.0   8 
   10   153.937622244  19.0   9 
   11   188.132133327  21.0  10 
! NUMBER OF RADIATIVE TRANSITIONS
          10
!TRANS + U + L + A(s^-1) + FREQ(GHz) + E_u/k(K)
     1     2     1  4.817E-06         102.58753270     4.92   
     2     3     2  4.624E-05         205.17052000    14.77   
     3     4     3  1.672E-04         307.74435100    29.54    
     4     5     4  4.109E-04         410.30456500    49.23    
     5     6     5  8.206E-04         512.84649300    73.84    
     6     7     6  1.439E-03         615.36566600   103.38    
     7     8     7  2.310E-03         717.85748500   137.83     
     8     9     8  3.477E-03         820.31740360   177.20     
     9    10     9  4.981E-03         922.74086710   221.48   
    10    11    10  6.866E-03        1025.12332170   270.68    
! NUMBER OF COLLISION PARTNERS
1
! COLLISION PARTNER
1 H2 scaled from He rates by Ajili & Hammami 2013, A&A 556, A82
! NUMBER OF COLLISIONAL TRANSITIONS
55
! NUMBER OF TEMPERATURES
10 
! TEMPERATURES
10.0 20.0 30.0 50.0 70.0 100.0 150.0 200.0 250.0 300.0  
! TRANSITION-NUMBER UPPER-STATE LOWER-STATE RATE (CM^3S^-1)
47  11   2  1.25e-11 1.20e-11 1.14e-11 1.03e-11 9.48e-12 8.51e-12 7.45e-12 6.80e-12 6.36e-12 6.05e-12 
48  11   3  2.34e-11 2.28e-11 2.18e-11 2.00e-11 1.86e-11 1.71e-11 1.57e-11 1.49e-11 1.45e-11 1.42e-11 
49  11   4  2.59e-11 2.58e-11 2.51e-11 2.35e-11 2.19e-11 2.01e-11 1.80e-11 1.67e-11 1.58e-11 1.52e-11 
50  11   5  4.95e-11 4.91e-11 4.81e-11 4.57e-11 4.36e-11 4.12e-11 3.85e-11 3.69e-11 3.58e-11 3.50e-11 
51  11   6  3.86e-11 4.03e-11 4.04e-11 3.89e-11 3.70e-11 3.46e-11 3.18e-11 3.00e-11 2.87e-11 2.78e-11 
52  11   7  1.21e-10 1.16e-10 1.12e-10 1.04e-10 9.81e-11 9.10e-11 8.32e-11 7.82e-11 7.47e-11 7.21e-11 
53  11   8  5.67e-11 6.06e-11 6.17e-11 6.08e-11 5.87e-11 5.58e-11 5.21e-11 4.97e-11 4.80e-11 4.66e-11 
54  11   9  2.04e-10 1.99e-10 1.92e-10 1.80e-10 1.70e-10 1.58e-10 1.46e-10 1.38e-10 1.33e-10 1.29e-10 
55  11  10  8.32e-11 8.94e-11 9.29e-11 9.60e-11 9.75e-11 9.90e-11 1.01e-10 1.02e-10 1.03e-10 1.03e-10 
! COMMENTS:
! c031507.cat                                                             
! Q(300)=    122.3352
! NOTE: new number of lines =   10
! Degrees of freedom in partition fn.=  2
! MOLTAG =   31507
! Quantum number code: 1202
! NOTE: A-values from database have been scaled by 1.000E+00 to account for revised dipole moment-squared
