!MOLECULE
 NO from JPL database, updated 2010, incl. cross-ladder trans.          
!MOLECULAR WEIGHT
 30.
! NUMBER OF ENERGY LEVELS
 154
!LEVEL + ENERGIES(cm^-1) + WEIGHT + J (or other quantum numbers)
   153     4     2  3.021E-15           0.41120560     0.02     
   154     4     1  4.347E-15           0.43119050     0.02     
   155     8     7  1.927E-15           0.56085380     7.24     
   156     8     6  1.769E-15           0.58774670     7.24     
   157     9     7  1.063E-15           0.62464940     7.24     
   158     9     6  2.921E-15           0.65154250     7.24     
   159     9     5  1.566E-15           0.69382820     7.24     
   160    10     6  1.369E-15           0.75891060     7.25     
   161    10     5  8.456E-15           0.80119630     7.25     
   162    14    13  5.693E-15           0.92925900    19.27     
   163    14    12  1.207E-15           0.96402300    19.27     
   164    15    13  8.777E-16           0.99173380    19.28     
   165    15    12  7.161E-15           1.02649920    19.28     
   166    15    11  1.128E-15           1.07259600    19.28     
   167    16    12  9.523E-16           1.11467700    19.28     
   168    16    11  1.210E-14           1.16077680    19.28     
   169    20    19  9.219E-15           1.28642370    36.12     
   170    20    18  8.934E-16           1.32529900    36.12     
   171    21    19  7.072E-16           1.34845900    36.13     
   172    21    18  1.103E-14           1.38733020    36.13     
   173    21    17  8.555E-16           1.43458800    36.13     
   174    22    18  7.343E-16           1.46751100    36.13     
   175    22    17  1.555E-14           1.51476800    36.13     
   176    26    25  1.260E-14           1.63722520    57.78     
   177    26    24  7.035E-16           1.67849470    57.78     
   178    27    25  5.850E-16           1.69918770    57.78     
   179    27    24  1.466E-14           1.74045730    57.78     
   180    27    23  6.821E-16           1.78798310    57.78     
   181    28    24  5.974E-16           1.81634990    57.79     
   182    28    23  1.889E-14           1.86387800    57.79     
   183    32    31  1.589E-14           1.98240140    84.25     
   184    32    30  5.774E-16           2.02513400    84.25     
   185    33    31  4.960E-16           2.04448440    84.25     
   186    33    30  1.811E-14           2.08721700    84.25     
   187    33    29  5.641E-16           2.13460080    84.25     
   188    34    30  5.025E-16           2.16049310    84.26     
   189    34    29  2.213E-14           2.20787700    84.26     
   190    38    37  1.908E-14           2.32176990   115.53     
   191    38    36  4.878E-16           2.36540340   115.53     
   192    39    37  4.289E-16           2.38407370   115.53     
   193    39    36  2.143E-14           2.42770710   115.53     
   194    39    35  4.791E-16           2.47472490   115.53     
   195    40    36  4.327E-16           2.49925480   115.54     
